Local time,Open,High,Low,Close,Volume
08.10.2003 00:30:00.000 GMT+0330,0.69012,0.69313,0.68791,0.69015,122265.6291
09.10.2003 00:30:00.000 GMT+0330,0.69025,0.69570,0.68561,0.69007,132857.69319999998
10.10.2003 00:30:00.000 GMT+0330,0.69002,0.69372,0.68660,0.69127,121389.94109999998
11.10.2003 00:30:00.000 GMT+0330,0.69127,0.69127,0.69127,0.69127,0
12.10.2003 00:30:00.000 GMT+0330,0.69127,0.69127,0.69127,0.69127,0
13.10.2003 00:30:00.000 GMT+0330,0.69233,0.69272,0.68568,0.68946,129970.1599
14.10.2003 00:30:00.000 GMT+0330,0.68945,0.69130,0.68210,0.68970,126165.08040000002
15.10.2003 00:30:00.000 GMT+0330,0.68992,0.69230,0.68630,0.68788,122821.43190000001
16.10.2003 00:30:00.000 GMT+0330,0.68815,0.69265,0.68501,0.68763,131728.79540000003
17.10.2003 00:30:00.000 GMT+0330,0.68770,0.69323,0.68660,0.69229,126726.33889999999
18.10.2003 00:30:00.000 GMT+0330,0.69229,0.69229,0.69229,0.69229,0
19.10.2003 00:30:00.000 GMT+0330,0.69229,0.69229,0.69229,0.69229,0
20.10.2003 00:30:00.000 GMT+0330,0.69345,0.69505,0.68914,0.69075,135227.2808
21.10.2003 00:30:00.000 GMT+0330,0.69095,0.70027,0.69043,0.69944,126100.49979999999
22.10.2003 00:30:00.000 GMT+0330,0.69959,0.70735,0.69722,0.70481,121886.3989
23.10.2003 00:30:00.000 GMT+0330,0.70494,0.70655,0.69603,0.69955,133147.44860000003
24.10.2003 00:30:00.000 GMT+0330,0.69969,0.70242,0.69786,0.69860,127334.9106
25.10.2003 00:30:00.000 GMT+0330,0.69860,0.69860,0.69860,0.69860,0
26.10.2003 00:30:00.000 GMT+0330,0.69860,0.69860,0.69860,0.69860,0
27.10.2003 01:30:00.000 GMT+0330,0.69840,0.70585,0.69777,0.70368,137891.33039999998
28.10.2003 01:30:00.000 GMT+0330,0.70395,0.70645,0.70084,0.70520,127014.8797
29.10.2003 01:30:00.000 GMT+0330,0.70495,0.70718,0.70237,0.70325,122541.3411
30.10.2003 01:30:00.000 GMT+0330,0.70317,0.71067,0.70195,0.70430,132028.2522
31.10.2003 01:30:00.000 GMT+0330,0.70420,0.70972,0.70192,0.70799,128238.5108
01.11.2003 01:30:00.000 GMT+0330,0.70799,0.70799,0.70799,0.70799,0
02.11.2003 01:30:00.000 GMT+0330,0.70799,0.70799,0.70799,0.70799,0
03.11.2003 01:30:00.000 GMT+0330,0.70664,0.70912,0.69545,0.69630,136140.2895
04.11.2003 01:30:00.000 GMT+0330,0.69661,0.70375,0.69534,0.70292,128229.57019999999
05.11.2003 01:30:00.000 GMT+0330,0.70261,0.71195,0.70194,0.70822,124076.7109
06.11.2003 01:30:00.000 GMT+0330,0.70837,0.71245,0.70445,0.70672,133097.1633
07.11.2003 01:30:00.000 GMT+0330,0.70646,0.70995,0.70326,0.70810,128068.47920000002
08.11.2003 01:30:00.000 GMT+0330,0.70810,0.70810,0.70810,0.70810,0
09.11.2003 01:30:00.000 GMT+0330,0.70810,0.70810,0.70810,0.70810,0
10.11.2003 01:30:00.000 GMT+0330,0.70834,0.71770,0.70827,0.71505,2131223.4469999997
11.11.2003 01:30:00.000 GMT+0330,0.71505,0.71645,0.71252,0.71512,247547.40090000007
12.11.2003 01:30:00.000 GMT+0330,0.71517,0.71912,0.71182,0.71652,122455.9997
13.11.2003 01:30:00.000 GMT+0330,0.71625,0.72240,0.71559,0.72070,131401.11800000002
14.11.2003 01:30:00.000 GMT+0330,0.72081,0.72217,0.71714,0.72022,117147.1504
15.11.2003 01:30:00.000 GMT+0330,0.72022,0.72022,0.72022,0.72022,0
16.11.2003 01:30:00.000 GMT+0330,0.72022,0.72022,0.72022,0.72022,0
17.11.2003 01:30:00.000 GMT+0330,0.72016,0.72152,0.70927,0.71141,123714.35900000001
18.11.2003 01:30:00.000 GMT+0330,0.71131,0.72485,0.70890,0.72398,129406.59980000001
19.11.2003 01:30:00.000 GMT+0330,0.72415,0.72452,0.71972,0.72061,124301.41019999998
20.11.2003 01:30:00.000 GMT+0330,0.72065,0.72655,0.71995,0.72169,132519.9742
21.11.2003 01:30:00.000 GMT+0330,0.72145,0.72470,0.71970,0.72325,117340.31019999999
22.11.2003 01:30:00.000 GMT+0330,0.72325,0.72325,0.72325,0.72325,0
23.11.2003 01:30:00.000 GMT+0330,0.72325,0.72325,0.72325,0.72325,0
24.11.2003 01:30:00.000 GMT+0330,0.72291,0.72425,0.71504,0.71822,121452.7384
25.11.2003 01:30:00.000 GMT+0330,0.71807,0.72125,0.71584,0.71893,126657.93999999999
26.11.2003 01:30:00.000 GMT+0330,0.71910,0.72495,0.71561,0.72352,124164.05140000004
27.11.2003 01:30:00.000 GMT+0330,0.72332,0.72415,0.72069,0.72214,127706.1678
28.11.2003 01:30:00.000 GMT+0330,0.72239,0.72555,0.71853,0.72340,116091.94090000002
29.11.2003 01:30:00.000 GMT+0330,0.72340,0.72340,0.72340,0.72340,0
30.11.2003 01:30:00.000 GMT+0330,0.72340,0.72340,0.72340,0.72340,0
01.12.2003 01:30:00.000 GMT+0330,0.72332,0.72882,0.72226,0.72808,137164.22960000002
02.12.2003 01:30:00.000 GMT+0330,0.72808,0.73260,0.72566,0.73080,132940.7983
03.12.2003 01:30:00.000 GMT+0330,0.73070,0.73735,0.72904,0.73655,122617.2616
04.12.2003 01:30:00.000 GMT+0330,0.73581,0.73810,0.73111,0.73510,133188.8732
05.12.2003 01:30:00.000 GMT+0330,0.73490,0.73700,0.73261,0.73597,127811.90029999998
06.12.2003 01:30:00.000 GMT+0330,0.73597,0.73597,0.73597,0.73597,0
07.12.2003 01:30:00.000 GMT+0330,0.73597,0.73597,0.73597,0.73597,0
08.12.2003 01:30:00.000 GMT+0330,0.73634,0.74140,0.73491,0.74052,137664.42979999998
09.12.2003 01:30:00.000 GMT+0330,0.73968,0.74305,0.73659,0.74125,132978.33830000003
10.12.2003 01:30:00.000 GMT+0330,0.74092,0.74175,0.73564,0.73942,124669.77049999997
11.12.2003 01:30:00.000 GMT+0330,0.73930,0.73972,0.73287,0.73955,135217.79020000002
12.12.2003 01:30:00.000 GMT+0330,0.73920,0.74365,0.73780,0.74170,128676.0906
13.12.2003 01:30:00.000 GMT+0330,0.74170,0.74170,0.74170,0.74170,0
14.12.2003 01:30:00.000 GMT+0330,0.74170,0.74170,0.74170,0.74170,0
15.12.2003 01:30:00.000 GMT+0330,0.73723,0.74465,0.73611,0.74372,140407.20990000002
16.12.2003 01:30:00.000 GMT+0330,0.74400,0.74550,0.74149,0.74320,133696.66079999998
17.12.2003 01:30:00.000 GMT+0330,0.74294,0.74395,0.73665,0.73872,123151.2191
18.12.2003 01:30:00.000 GMT+0330,0.73863,0.74280,0.73430,0.74020,133745.64919999999
19.12.2003 01:30:00.000 GMT+0330,0.74000,0.74155,0.73520,0.73565,128114.29000000001
20.12.2003 01:30:00.000 GMT+0330,0.73565,0.73565,0.73565,0.73565,0
21.12.2003 01:30:00.000 GMT+0330,0.73565,0.73565,0.73565,0.73565,0
22.12.2003 01:30:00.000 GMT+0330,0.73667,0.73710,0.73201,0.73332,140715.52069999996
23.12.2003 01:30:00.000 GMT+0330,0.73322,0.73715,0.73259,0.73685,130233.209
24.12.2003 01:30:00.000 GMT+0330,0.73627,0.74330,0.73606,0.74142,117090.28029999998
25.12.2003 01:30:00.000 GMT+0330,0.74137,0.74269,0.74026,0.74150,31902.3369
26.12.2003 01:30:00.000 GMT+0330,0.74150,0.74375,0.74001,0.74140,98987.81130000002
27.12.2003 01:30:00.000 GMT+0330,0.74140,0.74140,0.74140,0.74140,0
28.12.2003 01:30:00.000 GMT+0330,0.74140,0.74140,0.74140,0.74140,0
29.12.2003 01:30:00.000 GMT+0330,0.74057,0.74435,0.73975,0.74385,138127.4793
30.12.2003 01:30:00.000 GMT+0330,0.74372,0.74935,0.74232,0.74863,131735.3382
31.12.2003 01:30:00.000 GMT+0330,0.74896,0.75395,0.74700,0.75165,118074.36949999999
01.01.2004 01:30:00.000 GMT+0330,0.75169,0.75305,0.74963,0.75084,9420.5499
