Gmt time,Open,High,Low,Close,Volume
04.08.2003 00:00:00.000,1.61066,1.61487,1.60621,1.61111,135111.75
05.08.2003 00:00:00.000,1.61123,1.61597,1.60201,1.61277,134854.9531
06.08.2003 00:00:00.000,1.61275,1.61852,1.60329,1.60885,134207.375
07.08.2003 00:00:00.000,1.60893,1.61876,1.60501,1.61486,136715.4688
08.08.2003 00:00:00.000,1.61490,1.61764,1.60057,1.60497,128868.5781
09.08.2003 00:00:00.000,1.60497,1.60497,1.60497,1.60497,0
10.08.2003 00:00:00.000,1.60470,1.60470,1.59950,1.60003,7313.3999
11.08.2003 00:00:00.000,1.60035,1.61013,1.59799,1.60630,160626.6094
12.08.2003 00:00:00.000,1.60622,1.60920,1.59902,1.60151,154519.2031
13.08.2003 00:00:00.000,1.60147,1.60951,1.59623,1.60615,162009.2031
14.08.2003 00:00:00.000,1.60623,1.61349,1.59812,1.60256,153443.9688
15.08.2003 00:00:00.000,1.60228,1.60398,1.59237,1.59618,147823.9844
16.08.2003 00:00:00.000,1.59618,1.59618,1.59618,1.59618,0
17.08.2003 00:00:00.000,1.59608,1.60065,1.59507,1.59785,10223.9004
18.08.2003 00:00:00.000,1.59775,1.59839,1.58701,1.58920,152648.1563
19.08.2003 00:00:00.000,1.58940,1.58973,1.58072,1.58712,150643.9844
20.08.2003 00:00:00.000,1.58712,1.59643,1.58510,1.59279,158064.2344
21.08.2003 00:00:00.000,1.59286,1.59565,1.57441,1.57876,157572.5469
22.08.2003 00:00:00.000,1.57899,1.57914,1.57003,1.57397,150280.5156
23.08.2003 00:00:00.000,1.57397,1.57397,1.57397,1.57397,0
24.08.2003 00:00:00.000,1.57356,1.57418,1.56885,1.56972,9059.4502
25.08.2003 00:00:00.000,1.56990,1.57901,1.56324,1.56706,155845.9688
26.08.2003 00:00:00.000,1.56714,1.57448,1.56169,1.56901,154403.8125
27.08.2003 00:00:00.000,1.56865,1.57491,1.56614,1.56707,156997.5469
28.08.2003 00:00:00.000,1.56662,1.57843,1.56472,1.57751,154237.2813
29.08.2003 00:00:00.000,1.57767,1.58257,1.57199,1.57710,146026.6719
30.08.2003 00:00:00.000,1.57710,1.57710,1.57710,1.57710,0
31.08.2003 00:00:00.000,1.57718,1.57937,1.57718,1.57889,6022.2998
01.09.2003 00:00:00.000,1.57891,1.58103,1.56778,1.57156,128252.2734
02.09.2003 00:00:00.000,1.57155,1.57474,1.56172,1.56649,169985.4844
03.09.2003 00:00:00.000,1.56657,1.57622,1.56062,1.56989,166074.1563
04.09.2003 00:00:00.000,1.56985,1.58245,1.56766,1.58090,157170.3438
05.09.2003 00:00:00.000,1.58094,1.59079,1.57759,1.58823,146915.0469
06.09.2003 00:00:00.000,1.58823,1.58823,1.58823,1.58823,0
07.09.2003 00:00:00.000,1.58830,1.58989,1.58559,1.58752,10752.5703
08.09.2003 00:00:00.000,1.58780,1.59009,1.58155,1.58350,154033.7031
09.09.2003 00:00:00.000,1.58345,1.59272,1.57820,1.59031,155249.75
10.09.2003 00:00:00.000,1.59059,1.59447,1.58745,1.59002,157852.3281
11.09.2003 00:00:00.000,1.59008,1.59752,1.58945,1.59343,152765.0938
12.09.2003 00:00:00.000,1.59347,1.60665,1.59068,1.60205,146945.8594
13.09.2003 00:00:00.000,1.60205,1.60205,1.60205,1.60205,0
14.09.2003 00:00:00.000,1.60282,1.60584,1.60282,1.60407,9548.9502
15.09.2003 00:00:00.000,1.60414,1.60749,1.59965,1.60161,156198.3906
16.09.2003 00:00:00.000,1.60185,1.60548,1.58491,1.58724,155312.4531
17.09.2003 00:00:00.000,1.58737,1.61036,1.58582,1.60733,156373.5313
18.09.2003 00:00:00.000,1.60717,1.62138,1.60617,1.61627,157970.8281
19.09.2003 00:00:00.000,1.61625,1.63741,1.61382,1.63597,146059.5469
20.09.2003 00:00:00.000,1.63597,1.63597,1.63597,1.63597,0
21.09.2003 00:00:00.000,1.64634,1.65046,1.64505,1.64865,13515.9004
22.09.2003 00:00:00.000,1.64921,1.65485,1.64115,1.64853,159004.5156
23.09.2003 00:00:00.000,1.64829,1.65856,1.64537,1.64939,154152.0469
24.09.2003 00:00:00.000,1.64948,1.65995,1.64698,1.65461,162422.6563
25.09.2003 00:00:00.000,1.65464,1.66276,1.65279,1.65726,160892.625
26.09.2003 00:00:00.000,1.65727,1.66236,1.65578,1.65803,147978.25
27.09.2003 00:00:00.000,1.65803,1.65803,1.65803,1.65803,0
28.09.2003 00:00:00.000,1.65740,1.65904,1.65633,1.65896,7157.147
29.09.2003 00:00:00.000,1.65873,1.66725,1.64478,1.66294,161651.6094
30.09.2003 00:00:00.000,1.66310,1.67576,1.65848,1.66152,160882.75
01.10.2003 00:00:00.000,1.66162,1.66973,1.65297,1.66674,155347.2344
02.10.2003 00:00:00.000,1.66675,1.67496,1.66350,1.66810,159151.5938
03.10.2003 00:00:00.000,1.66817,1.67350,1.65778,1.66294,146193.2656
04.10.2003 00:00:00.000,1.66294,1.66294,1.66294,1.66294,0
05.10.2003 00:00:00.000,1.66222,1.66222,1.65892,1.66077,5300.25
06.10.2003 00:00:00.000,1.66059,1.67562,1.65783,1.67302,156918.25
07.10.2003 00:00:00.000,1.67285,1.67764,1.66055,1.66306,179363.7656
08.10.2003 00:00:00.000,1.66300,1.66702,1.65851,1.66361,156015.5156
09.10.2003 00:00:00.000,1.66368,1.66927,1.65583,1.66449,158743.2656
10.10.2003 00:00:00.000,1.66492,1.67193,1.66011,1.66344,145204.75
